model,score_type,classification_threshold,roc_auc,gini,ks,brier_score,accuracy,precision,recall,true_negative,false_positive,false_negative,true_positive
logistic_regression,raw,0.15,0.6904753368963064,0.3809506737926127,0.2795239176773402,0.23409858589266783,0.21823355005118797,0.21398074694714325,0.9993755593947089,1229.0,176367.0,30.0,48013.0
random_forest,raw,0.15,0.6998865784864132,0.39977315697282645,0.2924925125576229,0.20847047019425533,0.25920607696364545,0.22245627443761448,0.9935682617655017,10753.0,166843.0,309.0,47734.0
random_forest,recalibrated,0.15,0.6998865784864132,0.39977315697282645,0.2924925125576229,0.1547252593012309,0.45873718639065053,0.26821591925866134,0.8922423662136003,60643.0,116953.0,5177.0,42866.0
